z,A,R_tilde,K_tilde,det_g
498.4985,0.9822665827,237453920244.0911,4.574709317640504e+22,-0.0
499.4995,0.982250168,238823249563.3969,4.628323701348537e+22,-0.0
500.5005,0.9822337809,240197673804.93677,4.682459113561074e+22,-0.0
501.5015,0.9822174214,241577201559.7098,4.7371195898383225e+22,-0.0
502.5025,0.9822010893,242961841402.40094,4.792309189194701e+22,-0.0
503.5035,0.9821847846,244351601911.32495,4.848031994223973e+22,-0.0
504.5045,0.9821685073,245746491659.45224,4.904292111177178e+22,-0.0
505.5055,0.9821522571,247146519220.87912,4.961093670068159e+22,-0.0
506.5065,0.982136034,248551693166.80582,5.018440824758775e+22,-0.0
507.5075,0.982119838,249962022063.82242,5.076337753052068e+22,-0.0
508.5085,0.9821036689,251377514480.12805,5.13478865679513e+22,-0.0
509.5095,0.9820875266,252798178968.08496,5.19379776194521e+22,-0.0
510.5105,0.9820714111,254224024095.1789,5.253369318717613e+22,-0.0
511.5115,0.9820553222,255655058429.68167,5.313507601652592e+22,-0.0
512.5125,0.9820392599,257091290518.20264,5.37421690967556e+22,-0.0
513.5135,0.9820232242,258532728909.04816,5.435501566231633e+22,-0.0
514.5145,0.9820072148,259979382152.11285,5.497365919380616e+22,-0.0
515.5155,0.9819912317,261431258805.7945,5.5598143419046724e+22,-0.0
516.5165,0.9819752749,262888367415.99417,5.622851231366283e+22,-0.0
517.5175,0.9819593442,264350716521.08487,5.6864810102160334e+22,-0.0
518.5185,0.9819434396,265818314667.50235,5.7507081259138714e+22,-0.0
519.5195,0.9819275609,267291170385.2882,5.8155370509832815e+22,-0.0
520.5205,0.9819117082,268769292219.18558,5.8809722831647795e+22,-0.0
521.5215,0.9818958812,270252688707.25543,5.947018345470422e+22,-0.0
522.5225,0.98188008,271741368364.47876,6.013679786256931e+22,-0.0
523.5235,0.9818643044,273235339742.0463,6.080961179427603e+22,-0.0
524.5245,0.9818485544,274734611366.06122,6.148867124415087e+22,-0.0
525.5255,0.9818328298,276239191740.7304,6.2174022462932685e+22,-0.0
526.5265,0.9818171307,277749089410.1279,6.286571195982202e+22,-0.0
527.5275,0.9818014568,279264312891.8508,6.356378650223938e+22,-0.0
528.5285,0.9817858082,280784870693.6731,6.4268293117170904e+22,-0.0
529.5295,0.9817701848,282310771345.00616,6.497927909268951e+22,-0.0
530.5305,0.9817545864,283842023357.06384,6.569679197821385e+22,-0.0
531.5315,0.981739013,285378635237.48926,6.642087958579359e+22,-0.0
532.5325,0.9817234645,286920615496.584,6.715158999119609e+22,-0.0
533.5335,0.9817079408,288467972643.19324,6.788897153484171e+22,-0.0
534.5345,0.9816924419,290020715190.2838,6.863307282289151e+22,-0.0
535.5355,0.9816769677,291578851632.53174,6.93839427278267e+22,-0.0
536.5365,0.9816615181,293142390473.1158,7.014163038998432e+22,-0.0
537.5375,0.981646093,294711340213.09296,7.090618521831545e+22,-0.0
538.5385,0.9816306923,296285709341.3518,7.167765689124344e+22,-0.0
539.5395,0.981615316,297865506363.8795,7.245609535821209e+22,-0.0
540.5405,0.981599964,299450739766.0099,7.324155083995574e+22,-0.0
541.5415,0.9815846362,301041418043.8618,7.4034073830169e+22,-0.0
542.5425,0.9815693325,302637549688.3074,7.483371509614035e+22,-0.0
543.5435,0.9815540529,304239143166.51764,7.564052567947966e+22,-0.0
544.5445,0.9815387973,305846206977.083,7.64545568981922e+22,-0.0
545.5455,0.9815235656,307458749613.775,7.727586034695998e+22,-0.0
546.5465,0.9815083577,309076779543.6169,7.810448789775894e+22,-0.0
547.5475,0.9814931736,310700305231.27124,7.894049170138199e+22,-0.0
548.5485,0.9814780132,312329335171.00244,7.978392418910112e+22,-0.0
549.5495,0.9814628764,313963877837.5431,8.063483807266438e+22,-0.0
550.5506,0.9814477631,315603941690.896,8.149328634550202e+22,-0.0
551.5516,0.9814326733,317249535210.8368,8.23593222844075e+22,-0.0
552.5526,0.9814176069,318900666862.6258,8.323299944989197e+22,-0.0
553.5536,0.9814025638,320557345110.7447,8.411437168751453e+22,-0.0
554.5546,0.981387544,322219578410.8367,8.500349312874301e+22,-0.0
555.5556,0.9813725473,323887375233.28986,8.590041819251676e+22,-0.0
556.5566,0.9813575738,325560744048.1564,8.680520158592246e+22,-0.0
557.5576,0.9813426233,327239693292.0848,8.77178983046035e+22,-0.0
558.5586,0.9813276958,328924231426.0809,8.863856363502895e+22,-0.0
