z,A,a_eff,shear_integral,horizon_approach
511.5115,0.8343716441,0.8343716441,0.0037468923,False
512.5125,0.8342351862,0.8342351862,0.0037107331,False
513.5135,0.8340989734,0.8340989734,0.0036749202,False
514.5145,0.8339630049,0.8339630049,0.0036394504,False
515.5155,0.8338272797,0.8338272797,0.0036043204,False
516.5165,0.8336917972,0.8336917972,0.003569527,False
517.5175,0.8335565563,0.8335565563,0.0035350671,False
518.5185,0.8334215565,0.8334215565,0.0035009374,False
519.5195,0.8332867967,0.8332867967,0.0034671348,False
520.5205,0.8331522762,0.8331522762,0.0034336562,False
521.5215,0.8330179943,0.8330179943,0.0034004986,False
522.5225,0.83288395,0.83288395,0.0033676589,False
523.5235,0.8327501426,0.8327501426,0.003335134,False
524.5245,0.8326165713,0.8326165713,0.0033029211,False
525.5255,0.8324832353,0.8324832353,0.0032710171,False
526.5265,0.8323501338,0.8323501338,0.0032394191,False
527.5275,0.832217266,0.832217266,0.0032081242,False
528.5285,0.8320846311,0.8320846311,0.0031771295,False
529.5295,0.8319522284,0.8319522284,0.0031464322,False
530.5305,0.8318200571,0.8318200571,0.0031160294,False
531.5315,0.8316881164,0.8316881164,0.0030859184,False
532.5325,0.8315564055,0.8315564055,0.0030560964,False
533.5335,0.8314249237,0.8314249237,0.0030265606,False
534.5345,0.8312936702,0.8312936702,0.0029973083,False
535.5355,0.8311626443,0.8311626443,0.0029683368,False
536.5365,0.8310318452,0.8310318452,0.0029396435,False
537.5375,0.8309012722,0.8309012722,0.0029112257,False
538.5385,0.8307709245,0.8307709245,0.0028830807,False
539.5395,0.8306408014,0.8306408014,0.002855206,False
540.5405,0.8305109021,0.8305109021,0.0028275991,False
541.5415,0.8303812259,0.8303812259,0.0028002573,False
542.5425,0.8302517721,0.8302517721,0.0027731782,False
543.5435,0.83012254,0.83012254,0.0027463592,False
544.5445,0.8299935288,0.8299935288,0.0027197979,False
545.5455,0.8298647378,0.8298647378,0.0026934918,False
546.5465,0.8297361662,0.8297361662,0.0026674385,False
547.5475,0.8296078135,0.8296078135,0.0026416356,False
548.5485,0.8294796788,0.8294796788,0.0026160807,False
549.5495,0.8293517615,0.8293517615,0.0025907714,False
550.5506,0.8292240608,0.8292240608,0.0025657054,False
551.5516,0.8290965761,0.8290965761,0.0025408804,False
552.5526,0.8289693067,0.8289693067,0.0025162941,False
553.5536,0.8288422518,0.8288422518,0.0024919442,False
554.5546,0.8287154108,0.8287154108,0.0024678285,False
555.5556,0.8285887831,0.8285887831,0.0024439446,False
556.5566,0.8284623678,0.8284623678,0.0024202905,False
557.5576,0.8283361643,0.8283361643,0.0023968639,False
558.5586,0.828210172,0.828210172,0.0023736627,False
559.5596,0.8280843902,0.8280843902,0.0023506847,False
560.5606,0.8279588182,0.8279588182,0.0023279278,False
561.5616,0.8278334554,0.8278334554,0.0023053898,False
562.5626,0.827708301,0.827708301,0.0022830687,False
563.5636,0.8275833544,0.8275833544,0.0022609624,False
564.5646,0.827458615,0.827458615,0.0022390689,False
565.5656,0.8273340822,0.8273340822,0.0022173861,False
566.5666,0.8272097551,0.8272097551,0.002195912,False
567.5676,0.8270856333,0.8270856333,0.0021746447,False
568.5686,0.826961716,0.826961716,0.0021535821,False
569.5696,0.8268380027,0.8268380027,0.0021327223,False
570.5706,0.8267144926,0.8267144926,0.0021120634,False
571.5716,0.8265911852,0.8265911852,0.0020916035,False
572.5726,0.8264680798,0.8264680798,0.0020713405,False
573.5736,0.8263451757,0.8263451757,0.0020512728,False
574.5746,0.8262224724,0.8262224724,0.0020313983,False
575.5756,0.8260999693,0.8260999693,0.0020117153,False
576.5766,0.8259776656,0.8259776656,0.0019922219,False
577.5776,0.8258555608,0.8258555608,0.0019729163,False
578.5786,0.8257336543,0.8257336543,0.0019537968,False
579.5796,0.8256119454,0.8256119454,0.0019348615,False
580.5806,0.8254904336,0.8254904336,0.0019161086,False
581.5816,0.8253691182,0.8253691182,0.0018975365,False
582.5826,0.8252479987,0.8252479987,0.0018791434,False
583.5836,0.8251270743,0.8251270743,0.0018609276,False
584.5846,0.8250063446,0.8250063446,0.0018428874,False
585.5856,0.8248858089,0.8248858089,0.0018250211,False
586.5866,0.8247654667,0.8247654667,0.001807327,False
587.5876,0.8246453173,0.8246453173,0.0017898036,False
588.5886,0.8245253601,0.8245253601,0.0017724491,False
589.5896,0.8244055946,0.8244055946,0.001755262,False
590.5906,0.8242860202,0.8242860202,0.0017382406,False
591.5916,0.8241666363,0.8241666363,0.0017213835,False
592.5926,0.8240474423,0.8240474423,0.0017046889,False
593.5936,0.8239284377,0.8239284377,0.0016881553,False
594.5946,0.8238096218,0.8238096218,0.0016717813,False
595.5956,0.8236909942,0.8236909942,0.0016555652,False
596.5966,0.8235725542,0.8235725542,0.0016395056,False
597.5976,0.8234543012,0.8234543012,0.0016236009,False
598.5986,0.8233362348,0.8233362348,0.0016078497,False
599.5996,0.8232183543,0.8232183543,0.0015922505,False
600.6006,0.8231006591,0.8231006591,0.0015768019,False
601.6016,0.8229831489,0.8229831489,0.0015615024,False
602.6026,0.8228658228,0.8228658228,0.0015463506,False
603.6036,0.8227486806,0.8227486806,0.001531345,False
604.6046,0.8226317215,0.8226317215,0.0015164843,False
605.6056,0.822514945,0.822514945,0.001501767,False
606.6066,0.8223983506,0.8223983506,0.0014871919,False
607.6076,0.8222819378,0.8222819378,0.0014727575,False
608.6086,0.8221657059,0.8221657059,0.0014584624,False
609.6096,0.8220496546,0.8220496546,0.0014443055,False
610.6106,0.8219337832,0.8219337832,0.0014302852,False
611.6116,0.8218180911,0.8218180911,0.0014164004,False
612.6126,0.821702578,0.821702578,0.0014026497,False
613.6136,0.8215872432,0.8215872432,0.0013890318,False
614.6146,0.8214720862,0.8214720862,0.0013755455,False
615.6156,0.8213571066,0.8213571066,0.0013621894,False
616.6166,0.8212423037,0.8212423037,0.0013489624,False
617.6176,0.8211276771,0.8211276771,0.0013358632,False
618.6186,0.8210132262,0.8210132262,0.0013228906,False
619.6196,0.8208989506,0.8208989506,0.0013100434,False
620.6206,0.8207848496,0.8207848496,0.0012973203,False
621.6216,0.8206709229,0.8206709229,0.0012847202,False
622.6226,0.8205571699,0.8205571699,0.0012722418,False
623.6236,0.8204435901,0.8204435901,0.0012598841,False
624.6246,0.820330183,0.820330183,0.0012476458,False
625.6256,0.8202169481,0.8202169481,0.0012355259,False
626.6266,0.8201038849,0.8201038849,0.0012235231,False
627.6276,0.8199909929,0.8199909929,0.0012116364,False
628.6286,0.8198782716,0.8198782716,0.0011998646,False
629.6296,0.8197657205,0.8197657205,0.0011882067,False
630.6306,0.8196533391,0.8196533391,0.0011766615,False
631.6316,0.819541127,0.819541127,0.0011652279,False
632.6326,0.8194290836,0.8194290836,0.0011539049,False
633.6336,0.8193172085,0.8193172085,0.0011426915,False
634.6346,0.8192055012,0.8192055012,0.0011315865,False
635.6356,0.8190939612,0.8190939612,0.0011205889,False
636.6366,0.818982588,0.818982588,0.0011096977,False
637.6376,0.8188713812,0.8188713812,0.0010989119,False
638.6386,0.8187603402,0.8187603402,0.0010882305,False
639.6396,0.8186494647,0.8186494647,0.0010776524,False
640.6406,0.8185387541,0.8185387541,0.0010671766,False
641.6416,0.8184282079,0.8184282079,0.0010568023,False
642.6426,0.8183178258,0.8183178258,0.0010465283,False
643.6436,0.8182076072,0.8182076072,0.0010363538,False
644.6446,0.8180975517,0.8180975517,0.0010262777,False
645.6456,0.8179876588,0.8179876588,0.0010162992,False
646.6466,0.817877928,0.817877928,0.0010064172,False
647.6476,0.817768359,0.817768359,0.000996631,False
648.6486,0.8176589512,0.8176589512,0.0009869394,False
649.6496,0.8175497042,0.8175497042,0.0009773417,False
650.6507,0.8174406176,0.8174406176,0.000967837,False
651.6517,0.8173316909,0.8173316909,0.0009584242,False
652.6527,0.8172229236,0.8172229236,0.0009491026,False
653.6537,0.8171143153,0.8171143153,0.0009398713,False
654.6547,0.8170058656,0.8170058656,0.0009307294,False
655.6557,0.816897574,0.816897574,0.000921676,False
656.6567,0.81678944,0.81678944,0.0009127103,False
657.6577,0.8166814634,0.8166814634,0.0009038314,False
658.6587,0.8165736435,0.8165736435,0.0008950385,False
659.6597,0.81646598,0.81646598,0.0008863309,False
660.6607,0.8163584725,0.8163584725,0.0008777076,False
661.6617,0.8162511204,0.8162511204,0.0008691678,False
662.6627,0.8161439235,0.8161439235,0.0008607107,False
663.6637,0.8160368812,0.8160368812,0.0008523357,False
664.6647,0.8159299931,0.8159299931,0.0008440417,False
665.6657,0.8158232588,0.8158232588,0.0008358281,False
666.6667,0.8157166779,0.8157166779,0.0008276942,False
667.6677,0.81561025,0.81561025,0.000819639,False
668.6687,0.8155039746,0.8155039746,0.000811662,False
669.6697,0.8153978514,0.8153978514,0.0008037622,False
670.6707,0.8152918799,0.8152918799,0.000795939,False
671.6717,0.8151860596,0.8151860596,0.0007881917,False
672.6727,0.8150803903,0.8150803903,0.0007805195,False
673.6737,0.8149748714,0.8149748714,0.0007729216,False
674.6747,0.8148695026,0.8148695026,0.0007653974,False
675.6757,0.8147642835,0.8147642835,0.0007579461,False
676.6767,0.8146592136,0.8146592136,0.0007505671,False
