z,s_standard,s_tep,s_comoving_std,s_comoving_tep
927.9279,2324577650049048.5,2492888980606332.5,,
928.9289,2332100557353873.5,2501029613749017.5,,
929.9299,2339639677832194.5,2509188037045789.0,,
930.9309,2347195028936318.0,2517364270200552.0,,
931.9319,2354766628118547.0,2525558332917843.5,,
932.9329,2362354492831188.0,2533770244902841.0,,
933.9339,2369958640526543.0,2542000025861346.5,,
934.9349,2377579088656918.5,2550247695499803.0,,
935.9359,2385215854674620.0,2558513273525283.5,,
936.9369,2392868956031949.5,2566796779645488.5,,
937.9379,2400538410181213.0,2575098233568754.5,,
938.9389,2408224234574713.5,2583417655004044.0,,
939.9399,2415926446664760.0,2591755063660956.0,,
940.9409,2423645063903651.5,2600110479249709.5,,
941.9419,2431380103743695.5,2608483921481157.0,,
942.9429,2439131583637196.5,2616875410066780.0,,
943.9439,2446899521036459.5,2625284964718684.0,,
944.9449,2454683933393787.5,2633712605149600.5,,
945.9459,2462484838161485.0,2642158351072888.5,,
946.9469,2470302252791859.5,2650622222202533.5,,
947.9479,2478136194737212.0,2659104238253141.0,,
948.9489,2485986681449848.5,2667604418939944.5,,
949.9499,2493853730382074.0,2676122783978799.0,,
950.951,2501737358986192.5,2684659353086181.0,,
951.952,2509637584714509.5,2693214145979193.5,,
952.953,2517554425019330.0,2701787182375555.0,,
953.954,2525487897352955.5,2710378481993605.5,,
954.955,2533438019167693.0,2718988064552308.5,,
955.956,2541404807915846.0,2727615949771244.0,,
956.957,2549388281049719.5,2736262157370612.0,,
957.958,2557388456021621.0,2744926707071233.5,,
958.959,2565405350283850.0,2753609618594539.0,,
959.96,2573438981288714.0,2762310911662582.5,,
960.961,2581489366488517.0,2771030605998033.5,,
961.962,2589556523335563.5,2779768721324175.0,,
962.963,2597640469282157.5,2788525277364906.0,,
963.964,2605741221780604.0,2797300293844740.0,,
964.965,2613858798283209.5,2806093790488807.0,,
965.966,2621993216242276.0,2814905787022844.5,,
966.967,2630144493110109.0,2823736303173207.0,,
967.968,2638312646339013.5,2832585358666858.5,,
968.969,2646497693381293.0,2841452973231376.0,,
969.97,2654699651689251.5,2850339166594945.5,,
970.971,2662918538715197.5,2859243958486367.5,,
971.972,2671154371911430.0,2868167368635043.0,,
972.973,2679407168730257.0,2877109416770990.5,,
973.974,2687676946623983.0,2886070122624836.0,,
974.975,2695963723044913.0,2895049505927808.0,,
975.976,2704267515445349.5,2904047586411745.5,,
976.977,2712588341277597.0,2913064383809092.5,,
977.978,2720926217993964.0,2922099917852905.0,,
978.979,2729281163046750.0,2931154208276832.0,,
979.98,2737653193888263.0,2940227274815137.5,,
980.981,2746042327970806.0,2949319137202688.0,,
981.982,2754448582746683.5,2958429815174947.5,,
982.983,2762871975668202.5,2967559328467992.5,,
983.984,2771312524187665.5,2976707696818494.0,,
984.985,2779770245757375.5,2985874939963724.5,,
985.986,2788245157829639.5,2995061077641563.5,,
986.987,2796737277856761.5,3004266129590486.0,,
987.988,2805246623291046.0,3013490115549570.0,,
988.989,2813773211584798.5,3022733055258491.5,,
989.99,2822317060190320.5,3031994968457521.5,,
990.991,2830878186559922.0,3041275874887540.0,,
991.992,2839456608145901.0,3050575794290009.0,,
992.993,2848052342400567.0,3059894746407001.5,,
993.994,2856665406776222.5,3069232750981180.0,,
994.995,2865295818725171.0,3078589827755801.5,,
995.996,2873943595699722.5,3087965996474726.5,,
996.997,2882608755152174.0,3097361276882398.0,,
997.998,2891291314534836.0,3106775688723863.5,,
998.999,2899991291300009.5,3116209251744758.5,,
1000.0,2908708702899999.0,3125661985691311.0,,
