z,null_t,null_r,timelike_t,timelike_r
119.1191,0.880931996110608,0.119068,0.880928741833161,-0.011907
120.1201,0.879931417543605,0.120069,0.879928135918866,-0.012007
121.1211,0.878930838847477,0.121069,0.878927529875437,-0.012107
122.1221,0.87793026002193,0.12207,0.877926923702582,-0.012207
123.1231,0.876929681066671,0.12307,0.876926317400006,-0.012307
124.1241,0.875929101981406,0.124071,0.875925710967417,-0.012407
125.1251,0.87492852276584,0.125071,0.874925104404517,-0.012507
126.1261,0.873927943419674,0.126072,0.873924497711011,-0.012608
127.1271,0.872927363942613,0.127073,0.872923890886601,-0.012708
128.1281,0.871926784334358,0.128073,0.871923283930988,-0.012808
129.1291,0.870926204594608,0.129074,0.870922676843873,-0.012908
130.1301,0.869925624723064,0.130074,0.869922069624955,-0.013008
131.1311,0.868925044719423,0.131075,0.868921462273932,-0.013108
132.1321,0.867924464583383,0.132076,0.867920854790502,-0.013208
133.1331,0.866923884314641,0.133076,0.866920247174361,-0.013308
134.1341,0.865923303912891,0.134077,0.865919639425204,-0.013408
135.1351,0.864922723377828,0.135077,0.864919031542726,-0.013508
136.1361,0.863922142709144,0.136078,0.863918423526618,-0.013608
137.1371,0.862921561906533,0.137078,0.862917815376574,-0.013708
138.1381,0.861920980969684,0.138079,0.861917207092285,-0.013808
139.1391,0.860920399898288,0.13908,0.860916598673439,-0.013908
140.1401,0.859919818692034,0.14008,0.859915990119727,-0.014008
141.1411,0.858919237350609,0.141081,0.858915381430836,-0.014108
142.1421,0.8579186558737,0.142081,0.857914772606452,-0.014209
143.1431,0.856918074260993,0.143082,0.856914163646261,-0.014309
144.1441,0.855917492512172,0.144083,0.855913554549947,-0.014409
145.1451,0.854916910626921,0.145083,0.854912945317195,-0.014509
146.1461,0.853916328604921,0.146084,0.853912335947685,-0.014609
147.1471,0.852915746445855,0.147084,0.8529117264411,-0.014709
148.1481,0.851915164149401,0.148085,0.851911116797119,-0.014809
149.1491,0.85091458171524,0.149085,0.850910507015422,-0.014909
150.1502,0.849913999143049,0.150086,0.849909897095685,-0.015009
151.1512,0.848913416432504,0.151087,0.848909287037586,-0.015109
152.1522,0.847912833583281,0.152087,0.8479086768408,-0.015209
