z,A,rho_phi,p_phi,w_phi
518.5185,0.9819434396,737411.0876840951,-737269.1464324556,-0.999808
519.5195,0.9819275609,730533.5328206825,-730393.1858201522,-0.999808
520.5205,0.9819117082,723705.2390647208,-723566.470749652,-0.999808
521.5215,0.9818958812,716926.0833174366,-716788.8782351981,-0.999809
522.5225,0.98188008,710195.9386511787,-710060.2814620229,-0.999809
523.5235,0.9818643044,703514.6743945372,-703380.5498714523,-0.999809
524.5245,0.9818485544,696882.1562165554,-696749.549245102,-0.99981
525.5255,0.9818328298,690298.2462100445,-690167.1417881798,-0.99981
526.5265,0.9818171307,683762.8029739974,-683633.1862118838,-0.99981
527.5275,0.9818014568,677275.6816950939,-677147.5378148946,-0.999811
528.5285,0.9817858082,670836.7342283181,-670710.0485639796,-0.999811
529.5295,0.9817701848,664445.8091766625,-664320.5671736837,-0.999812
530.5305,0.9817545864,658102.7519699363,-657978.9391851254,-0.999812
531.5315,0.981739013,651807.4049426795,-651685.0070438981,-0.999812
532.5325,0.9817234645,645559.6074111705,-645438.6101770662,-0.999813
533.5335,0.9817079408,639359.1957495459,-639239.5850692724,-0.999813
534.5345,0.9816924419,633206.0034650137,-633087.7653379403,-0.999813
535.5355,0.9816769677,627099.8612721876,-626982.981807597,-0.999814
536.5365,0.9816615181,621040.5971665155,-620925.0625832911,-0.999814
537.5375,0.981646093,615028.0364968319,-614913.8331231342,-0.999814
538.5385,0.9816306923,609062.0020370091,-608949.1163099419,-0.999815
539.5395,0.981615316,603142.3140567398,-603030.7325220068,-0.999815
540.5405,0.981599964,597268.7903914239,-597158.499702975,-0.999815
541.5415,0.9815846362,591441.2465111865,-591332.2334308552,-0.999816
542.5425,0.9815693325,585659.4955890115,-585551.7469861424,-0.999816
543.5435,0.9815540529,579923.3485680085,-579816.8514190763,-0.999816
544.5445,0.9815387973,574232.6142278075,-574127.3556160277,-0.999817
545.5455,0.9815235656,568587.0992500908,-568483.0663650213,-0.999817
546.5465,0.9815083577,562986.6082832534,-562883.788420388,-0.999817
547.5475,0.9814931736,557430.9440062183,-557329.324566573,-0.999818
548.5485,0.9814780132,551919.9071913873,-551819.4756810778,-0.999818
549.5495,0.9814628764,546453.2967667414,-546354.0407965542,-0.999818
550.5506,0.9814477631,541030.9098770985,-540932.8171620541,-0.999819
551.5516,0.9814326733,535652.541944526,-535555.6003034356,-0.999819
552.5526,0.9814176069,530317.9867279194,-530222.1840829343,-0.999819
553.5536,0.9814025638,525027.036381739,-524932.3607578939,-0.99982
554.5546,0.981387544,519779.4815139261,-519685.9210386762,-0.99982
555.5556,0.9813725473,514575.1112429918,-514482.6541457431,-0.99982
556.5566,0.9813575738,509413.7132542866,-509322.3478659213,-0.999821
557.5576,0.9813426233,504295.0738554538,-504204.7886078491,-0.999821
558.5586,0.9813276958,499218.9780310763,-499129.7614566186,-0.999821
559.5596,0.9813127912,494185.2094965169,-494097.0502276098,-0.999822
560.5606,0.9812979094,489193.5507509616,-489106.4375195298,-0.999822
561.5616,0.9812830503,484243.7831296669,-484157.7047666545,-0.999822
562.5626,0.981268214,479335.6868554169,-479250.6322902811,-0.999823
563.5636,0.9812534003,474469.041089203,-474384.9993494042,-0.999823
564.5646,0.9812386091,469643.6239801231,-469560.584190609,-0.999823
565.5656,0.9812238404,464859.2127145032,-464777.1640971908,-0.999823
566.5666,0.9812090942,460115.5835642625,-460034.5154375144,-0.999824
567.5676,0.9811943702,455412.5119345092,-455332.4137126069,-0.999824
568.5686,0.9811796686,450749.7724103873,-450670.6336030014,-0.999824
569.5696,0.9811649892,446127.1388031706,-446048.9490148264,-0.999825
570.5706,0.9811503319,441544.3841956129,-441467.1331251537,-0.999825
571.5716,0.9811356967,437001.2809865642,-436924.9584266111,-0.999825
572.5726,0.9811210835,432497.6009348538,-432422.1967712629,-0.999826
573.5736,0.9811064923,428033.1152024452,-427958.6194137614,-0.999826
574.5746,0.981091923,423607.5943968769,-423533.9970537854,-0.999826
575.5756,0.9810773755,419220.8086129845,-419148.0998777603,-0.999827
576.5766,0.9810628497,414872.5274739186,-414800.6975998727,-0.999827
577.5776,0.9810483456,410562.5201714624,-410491.5595023867,-0.999827
578.5786,0.9810338632,406290.5555056492,-406220.4544752589,-0.999827
579.5796,0.9810194023,402056.4019237036,-401987.1510550777,-0.999828
580.5806,0.9810049629,397859.8275582803,-397791.4174633007,-0.999828
581.5816,0.9809905449,393700.6002650482,-393633.0216438366,-0.999828
582.5826,0.9809761483,389578.4876595889,-389511.731299943,-0.999829
583.5836,0.9809617731,385493.2571536403,-385427.3139304675,-0.999829
584.5846,0.980947419,381444.6759906798,-381379.5368654309,-0.999829
585.5856,0.9809330862,377432.5112808573,-377368.1673009581,-0.99983
586.5866,0.9809187744,373456.5300352803,-373392.9723335627,-0.99983
587.5876,0.9809044838,369516.4991996724,-369453.7189938046,-0.99983
588.5886,0.9808902141,365612.1856873811,-365550.174279297,-0.99983
589.5896,0.9808759653,361743.3564117788,-361682.1051871064,-0.999831
590.5906,0.9808617375,357909.7783180351,-357849.2787455249,-0.999831
591.5916,0.9808475304,354111.2184142763,-354051.4620452291,-0.999831
592.5926,0.9808333441,350347.4438021435,-350288.4222698376,-0.999832
593.5936,0.9808191785,346618.2217067471,-346559.9267258658,-0.999832
594.5946,0.9808050336,342923.3195060271,-342865.7428720854,-0.999832
595.5956,0.9807909092,339262.5047595358,-339205.6383483078,-0.999832
596.5966,0.9807768053,335635.545236622,-335579.3810035678,-0.999833
597.5976,0.9807627218,332042.2089440602,-331986.7389237533,-0.999833
598.5986,0.9807486588,328482.2641530982,-328427.4804586532,-0.999833
599.5996,0.9807346161,324955.4794259514,-324901.3742484517,-0.999833
600.6006,0.9807205937,321461.6236417375,-321408.189249664,-0.999834
601.6016,0.9807065915,318000.4660218641,-317947.6947605239,-0.999834
602.6026,0.9806926095,314571.7761548707,-314519.6604458267,-0.999834
603.6036,0.9806786475,311175.3240207448,-311123.8563612459,-0.999835
604.6046,0.9806647057,307810.8800146919,-307760.0529771042,-0.999835
605.6056,0.9806507838,304478.2149703962,-304428.021201635,-0.999835
606.6066,0.9806368818,301177.1001827564,-301127.5324037184,-0.999835
607.6076,0.9806229997,297907.3074301134,-297858.3584351114,-0.999836
608.6086,0.9806091375,294668.6089959708,-294620.2716521678,-0.999836
609.6096,0.980595295,291460.7776902192,-291413.044937065,-0.999836
610.6106,0.9805814722,288283.5868698665,-288236.4517185352,-0.999836
611.6116,0.9805676691,285136.8104592816,-285090.2659921094,-0.999837
612.6126,0.9805538855,282020.2229699575,-281974.2623398835,-0.999837
613.6136,0.9805401215,278933.5995198032,-278888.2159498103,-0.999837
614.6146,0.980526377,275876.7158519628,-275831.9026345208,-0.999838
615.6156,0.9805126519,272849.3483531766,-272805.0988496863,-0.999838
616.6166,0.9804989462,269851.274071683,-269807.5817119227,-0.999838
617.6176,0.9804852599,266882.2707346727,-266839.1290162453,-0.999838
618.6186,0.9804715927,263942.116765297,-263899.51925308,-0.999839
619.6196,0.9804579448,261030.5912992389,-260988.5316248349,-0.999839
620.6206,0.9804443161,258147.4742008494,-258105.9460620397,-0.999839
621.6216,0.9804307065,255292.5460788622,-255251.5432390614,-0.999839
622.6226,0.9804171159,252465.5883016819,-252425.1045893944,-0.99984
623.6236,0.9804035443,249666.3830122615,-249626.412320541,-0.99984
624.6246,0.9803899917,246894.7131425679,-246855.2494284772,-0.99984
625.6256,0.980376458,244150.3624276451,-244111.3997117198,-0.99984
626.6266,0.9803629431,241433.1154192801,-241394.647784993,-0.999841
627.6276,0.980349447,238742.757499275,-238704.7790925034,-0.999841
628.6286,0.9803359696,236079.0748923318,-236041.5799208267,-0.999841
629.6296,0.980322511,233441.8546785605,-233404.8374114181,-0.999841
630.6306,0.9803090709,230830.8848056062,-230794.3395727419,-0.999842
631.6316,0.9802956495,228245.9541004086,-228209.8752920329,-0.999842
632.6326,0.9802822466,225686.8522805972,-225651.2343466939,-0.999842
633.6336,0.9802688621,223153.3699655258,-223118.2074153333,-0.999842
634.6346,0.9802554962,220645.2986869545,-220610.5860884483,-0.999843
635.6356,0.9802421485,218162.4308993814,-218128.1628787606,-0.999843
636.6366,0.9802288192,215704.5599900312,-215670.7312312059,-0.999843
